(Брест-Литовский мир, проводился в, Брест-Литовск)
(Князь Макс Баденский, назначен, канцлером)
(Маттиас Эрцбергер, изъявил желание, принять Четырнадцать пунктов)
(Османская армия, ушла, Сирия)
(Перемирие, подписано, 1918-10-30)
(Союзнические войска, разгромили, болгар)
(Филипп Шейдеман, изъявил желание, принять Четырнадцать пунктов)



(Армяне, враждовал с, Турки)
(Веймарская республика, реализовал план, Демократическая конституция)
(Вильсон, участвовал в переговорах, Событие)
(Германия, враждовал с, Союзники)
(Германия, должен выплатить, Репарации)
(Германия, обвинили в, Развязывании войны)
(Германия, потеряла территорию в пользу, Польша)
(Главный договор, подписан, 28 июня 1919 года)
(Главный договор, проводился в, Версаль)
(Гражданская война в России, имело следствием, победу большевиков)
(Гражданская война в России, состоялось после, Мировая бойня)
(Греки, враждовал с, Турки)
(Лига наций, миссия представляла, Международное сообщество)
(Лига наций, миссия участвовала в, Разбор международных споров)
(Лозаннский договор, проводился в, Лозанна)
(Севрский договор, проводился в, Севр)
(Султан, подписал договор, Севрский договор)
(Турки, возглавил делегацию, Турецкое руководство)
(Турция, заключил мир с, Лозаннский договор)
(Турция, заключил мир с, Союзники)



